Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
100845,1992,11,19,HAL,HAWAIIAN AIR,DC-9-50,A,583,23,4,34,10,2,D,5,5,,,PHNL,HONOLULU INTL ARPT,HI,AWP,N,APPROACH,DAY,NONE,20,130,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112940,1992,11,19,SWA,SOUTHWEST AIRLINES,B-737,A,148,95,4,,,2,D,1,1,,,KMCI,KANSAS CITY INTL,MO,ACE,N,LANDING ROLL,DAY,FOG,0,,0,NE1,GULL,2-10,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1453,1992,11,19,MIL,MILITARY,T-38A,A,,,,,,,,,,,,KIWA,PHOENIX-MESA GATEWAY,AZ,AWP,,APPROACH,DAY,,50,160,,UNKBM,UNKNOWN MEDIUM BIRD,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104481,1992,11,19,AAL,AMERICAN AIRLINES,MD-82,A,583,37,4,34,10,2,D,5,5,,,KTUL,TULSA INTL,OK,ASW,,APPROACH,NIGHT,RAIN,400,140,,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106139,1992,11,20,UAL,UNITED AIRLINES,B-727,A,148,94,4,34,10,3,D,5,6,5,,KIAD,WASHINGTON DULLES INTL ARPT,DC,AEA,N,APPROACH,DAY,NONE,2000,150,,NE1,GULL,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100279,1992,11,20,BUS,BUSINESS,C-406 CARAVA,A,226,43,2,31,4,2,C,4,4,,,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,DC,AEA,N,APPROACH,DUSK,NONE,50,100,,ZT1,BLACKBIRD,1,NONE,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
105220,1992,11,20,COA,CONTINENTAL AIRLINES,MD-80,A,583,37,4,34,10,2,D,5,5,,,KHOU,WILLIAM P HOBBY ARPT,TX,ASW,,LANDING ROLL,DAY,,0,,0,UNKBM,UNKNOWN MEDIUM BIRD,11-100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127966,1992,11,20,PVT,PRIVATELY OWNED,BE-90  KING,A,123,18,2,31,4,2,C,4,4,,,KOKC,WILL ROGERS WORLD ARPT,OK,ASW,,CLIMB,NIGHT,,,,0,1G11,WHITE-TAILED DEER,1,PRECAUTIONARY LANDING,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
106072,1992,11,20,SDU,WESTAIR COMMUTER,BA-31 JETSTR,A,168,3,2,19,4,2,C,4,4,,,KSMF,SACRAMENTO INTL,CA,AWP,Y,APPROACH,NIGHT,NONE,2200,140,6,J22,GEESE,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106796,1992,11,21,DAL,DELTA AIR LINES,B-757-200,A,148,26,4,34,40,2,D,1,1,,,KSLC,SALT LAKE CITY INTL,UT,ANM,Y,APPROACH,DAY,NONE,800,135,,J21,DUCK,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105221,1992,11,21,ALO,ALLEGHENY AIRLINES,DHC8 DASH 8,A,303,10,3,31,10,2,C,4,4,,,KERI,ERIE INTL ARPT-TOM RIDGE FIELD,PA,AEA,N,CLIMB,DAY,RAIN,50,110,,ZX3,SPARROW,2-10,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111387,1992,11,21,MEP,MIDWEST AIRLINES,MD-88,A,583,37,4,34,10,2,D,5,5,,,KLAX,LOS ANGELES INTL,CA,AWP,N,APPROACH,DAY,NONE,1000,150,,NE1,GULL,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111916,1992,11,21,UNK,UNKNOWN,UNKNOWN,,765,,,,,,,,,,,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,FL,ASO,Y,APPROACH,DAY,NONE,250,,,K1002,TURKEY VULTURE,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106447,1992,11,21,AAL,AMERICAN AIRLINES,B-737-200,A,148,13,4,34,10,2,D,1,1,,,KMCB,MC COMB (PIKE COUNTY) ARPT,MS,ASO,N,CLIMB,DAY,NONE,50,160,,ZT1,BLACKBIRD,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106496,1992,11,21,AAL,AMERICAN AIRLINES,B-727,A,148,94,4,34,10,3,D,5,6,5,,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,ASW,,APPROACH,DAY,,,,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106494,1992,11,21,BLR,ATLANTIC COAST AIRLINES,BA-31 JETSTR,A,168,3,2,19,4,2,C,4,4,,,KIAD,WASHINGTON DULLES INTL ARPT,DC,AEA,N,APPROACH,DAWN,FOG,10,105,,NE1,GULL,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116157,1992,11,21,DAL,DELTA AIR LINES,MD-88,A,583,37,4,34,10,2,D,5,5,,,KSRQ,SARASOTA-BRADENTON INTL ARPT,FL,ASO,,LANDING ROLL,DAY,,0,,0,ZX3,SPARROW,2-10,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2437,1992,11,21,MIL,MILITARY,T-38A,A,,,,,,,,,,,,KHSV,HUNTSVILLE INTL ARPT-CARL T JONES FIELD,AL,ASO,,CLIMB,DAY,,100,160,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106684,1992,11,21,SWA,SOUTHWEST AIRLINES,B-737-200,A,148,13,4,34,10,2,D,1,1,,,KTUL,TULSA INTL,OK,ASW,N,CLIMB,DAY,NONE,600,180,,ZT1,BLACKBIRD,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100790,1992,11,21,DAL,DELTA AIR LINES,MD-11,A,583,39,4,34,46,3,D,1,6,1,,KPDX,PORTLAND INTL (OR),OR,ANM,,TAKEOFF RUN,DAY,RAIN,0,100,0,NE1,GULL,1,NONE,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101097,1992,11,21,UAL,UNITED AIRLINES,B-727,A,148,94,4,34,10,3,D,5,6,5,,KPHL,PHILADELPHIA INTL,PA,AEA,N,APPROACH,DAY,NONE,100,,,NE1,GULL,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106497,1992,11,22,USA,1US AIRWAYS,B-737-300,A,148,24,4,10,1,2,D,1,1,,,KSYR,SYRACUSE HANCOCK INTL,NY,AEA,N,CLIMB,DAY,FOG,7,135,,NE1,GULL,2-10,NONE,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128660,1992,11,22,UAL,UNITED AIRLINES,B-737-500,A,148,33,4,10,1,2,D,1,1,,,KMCO,ORLANDO INTL,FL,ASO,,TAKEOFF RUN,,,0,,0,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103786,1992,11,22,UNK,UNKNOWN,GULFSTREAM II,A,417,8,4,37,43,2,D,5,5,,,KMHT,MANCHESTER AIRPORT,NH,ANE,N,LANDING ROLL,DAY,NONE,0,90,0,NE1,GULL,2-10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102981,1992,11,22,PVT,PRIVATELY OWNED,C-152,A,226,36,1,7,7,1,A,7,,,,ZZZZ,UNKNOWN,,,Y,EN ROUTE,NIGHT,NONE,700,75,,UNKBM,UNKNOWN MEDIUM BIRD,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104763,1992,11,23,USA,1US AIRWAYS,DC-9-30,A,583,21,4,34,10,2,D,5,5,,,KILM,WILMINGTON INTL,NC,ASO,Y,TAKEOFF RUN,DAY,NONE,0,125,0,NE1,GULL,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
