Record ID,Incident Year,Incident Month,Incident Day,Operator,Aircraft ,Engines,Engine Type,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Height Bands,Speed,Speed Bands,Species Name,Species Quantity,Flight Impact,Aircraft Damage,Engine Ingested
100079,1992,11,29,America West Airlines,A-320,2,D,Port Columbus Intl,OH,AGL,Yes,APPROACH,DAY,NONE,200,Low Altitude,120,Medium Speed,Unknown Small Bird,2-10,NONE,No,No
100492,1992,11,30,1Us Airways,B-737-200,2,D,La Guardia Arpt,NY,AEA,Yes,CLIMB,NIGHT,NONE,400,Low Altitude,160,Medium Speed,Gull,2-10,PRECAUTIONARY LANDING,Yes,Yes
100623,1992,11,30,American Airlines,MD-80,2,D,Dallas/Fort Worth Intl Arpt,TX,ASW,Unknown,LANDING ROLL,DAY,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,No,No
102536,1992,11,30,Hawaiian Air,DC-9-50,2,D,Lihue Arpt,HI,AWP,No,CLIMB,NIGHT,RAIN,50,Low Altitude,140,Medium Speed,Unknown Medium Bird,1,NONE,No,No
109257,1992,11,30,American Airlines,B-727,3,D,Unknown,UNKNOWN,NA,No,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Unknown Medium Bird,1,NONE,No,No
103091,1992,11,30,American Airlines,MD-82,2,D,Dallas/Fort Worth Intl Arpt,TX,ASW,Yes,TAKEOFF RUN,DAY,NONE,0,On Ground,0,Stationary,Red-Tailed Hawk,1,ABORTED TAKEOFF,No,No
104118,1992,12,1,American Airlines,FOKKER F100,2,D,Nashville Intl,TN,ASO,No,APPROACH,NIGHT,NONE,75,Low Altitude,140,Medium Speed,Unknown Small Bird,1,NONE,No,No
109644,1992,12,1,Southwest Airlines,B-737-500,2,D,Austin-Bergstrom Intl,TX,ASW,No,CLIMB,DAY,NONE,1000,Medium Altitude,170,Medium Speed,Unknown Medium Bird,1,NONE,No,No
112788,1992,12,1,United Airlines,B-737-300,2,D,Seattle-Tacoma Intl,WA,ANM,Unknown,CLIMB,DAY,NONE,150,Low Altitude,0,Stationary,Unknown Medium Bird,2-10,NONE,No,No
130135,1992,12,1,Unknown,UNKNOWN,0,NA,Lihue Arpt,HI,AWP,Unknown,UNKNOWN,UNKNOWN,NONE,0,On Ground,0,Stationary,Short-Eared Owl,1,NONE,No,No
